INFO:root:Started
INFO:root:DeepAutoEncoder(
  (encoder): Sequential(
    (0): Linear(in_features=784, out_features=128, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=128, out_features=64, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=64, out_features=32, bias=True)
    (5): ReLU(inplace=True)
  )
  (decoder): Sequential(
    (0): Linear(in_features=32, out_features=64, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=64, out_features=128, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=128, out_features=784, bias=True)
  )
)
INFO:root:Epoch: 1 	 train_loss: 0.070727 	 val_loss: 0.069384
INFO:root:Epoch: 2 	 train_loss: 0.063387 	 val_loss: 0.063612
INFO:root:Epoch: 3 	 train_loss: 0.062428 	 val_loss: 0.063061
INFO:root:Epoch: 4 	 train_loss: 0.061368 	 val_loss: 0.062063
INFO:root:Epoch: 5 	 train_loss: 0.058024 	 val_loss: 0.059374
INFO:root:Epoch: 6 	 train_loss: 0.051536 	 val_loss: 0.053665
INFO:root:Epoch: 7 	 train_loss: 0.047239 	 val_loss: 0.049735
INFO:root:Epoch: 8 	 train_loss: 0.044247 	 val_loss: 0.047240
INFO:root:Epoch: 9 	 train_loss: 0.042672 	 val_loss: 0.045907
INFO:root:Epoch: 10 	 train_loss: 0.041042 	 val_loss: 0.044597
INFO:root:Epoch: 11 	 train_loss: 0.039317 	 val_loss: 0.043108
INFO:root:Epoch: 12 	 train_loss: 0.037607 	 val_loss: 0.041596
INFO:root:Epoch: 13 	 train_loss: 0.036503 	 val_loss: 0.040630
INFO:root:Epoch: 14 	 train_loss: 0.035638 	 val_loss: 0.039944
INFO:root:Epoch: 15 	 train_loss: 0.034496 	 val_loss: 0.038999
INFO:root:Epoch: 16 	 train_loss: 0.033701 	 val_loss: 0.038348
INFO:root:Epoch: 17 	 train_loss: 0.033049 	 val_loss: 0.037821
INFO:root:Epoch: 18 	 train_loss: 0.032374 	 val_loss: 0.037252
INFO:root:Epoch: 19 	 train_loss: 0.031775 	 val_loss: 0.036737
INFO:root:Epoch: 20 	 train_loss: 0.031257 	 val_loss: 0.036281
