INFO:root:Started
INFO:root:DeepAutoEncoder(
  (encoder): Sequential(
    (0): Linear(in_features=784, out_features=128, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=128, out_features=64, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=64, out_features=32, bias=True)
    (5): ReLU(inplace=True)
  )
  (decoder): Sequential(
    (0): Linear(in_features=32, out_features=64, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=64, out_features=128, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=128, out_features=784, bias=True)
  )
)
INFO:root:Epoch: 1 	 train_loss: 0.027821 	 val_loss: 0.027524
INFO:root:Epoch: 2 	 train_loss: 0.024782 	 val_loss: 0.024536
INFO:root:Epoch: 3 	 train_loss: 0.021839 	 val_loss: 0.021601
INFO:root:Epoch: 4 	 train_loss: 0.020498 	 val_loss: 0.020271
INFO:root:Epoch: 5 	 train_loss: 0.019745 	 val_loss: 0.019523
INFO:root:Epoch: 6 	 train_loss: 0.019133 	 val_loss: 0.018913
INFO:root:Epoch: 7 	 train_loss: 0.018887 	 val_loss: 0.018671
INFO:root:Epoch: 8 	 train_loss: 0.018506 	 val_loss: 0.018296
INFO:root:Epoch: 9 	 train_loss: 0.018305 	 val_loss: 0.018106
INFO:root:Epoch: 10 	 train_loss: 0.018146 	 val_loss: 0.017961
INFO:root:Epoch: 11 	 train_loss: 0.017971 	 val_loss: 0.017791
INFO:root:Epoch: 12 	 train_loss: 0.017837 	 val_loss: 0.017663
INFO:root:Epoch: 13 	 train_loss: 0.017708 	 val_loss: 0.017545
INFO:root:Epoch: 14 	 train_loss: 0.017702 	 val_loss: 0.017551
INFO:root:Epoch: 15 	 train_loss: 0.017739 	 val_loss: 0.017596
INFO:root:Epoch: 16 	 train_loss: 0.017638 	 val_loss: 0.017506
INFO:root:Epoch: 17 	 train_loss: 0.017531 	 val_loss: 0.017406
INFO:root:Epoch: 18 	 train_loss: 0.017414 	 val_loss: 0.017290
INFO:root:Epoch: 19 	 train_loss: 0.017248 	 val_loss: 0.017126
INFO:root:Epoch: 20 	 train_loss: 0.017111 	 val_loss: 0.016989
INFO:root:Epoch: 21 	 train_loss: 0.017013 	 val_loss: 0.016891
INFO:root:Epoch: 22 	 train_loss: 0.016988 	 val_loss: 0.016870
INFO:root:Epoch: 23 	 train_loss: 0.016838 	 val_loss: 0.016720
INFO:root:Epoch: 24 	 train_loss: 0.016671 	 val_loss: 0.016546
INFO:root:Epoch: 25 	 train_loss: 0.016579 	 val_loss: 0.016454
INFO:root:Epoch: 26 	 train_loss: 0.016513 	 val_loss: 0.016387
INFO:root:Epoch: 27 	 train_loss: 0.016411 	 val_loss: 0.016281
INFO:root:Epoch: 28 	 train_loss: 0.016376 	 val_loss: 0.016246
INFO:root:Epoch: 29 	 train_loss: 0.016277 	 val_loss: 0.016147
INFO:root:Epoch: 30 	 train_loss: 0.016254 	 val_loss: 0.016127
INFO:root:Epoch: 31 	 train_loss: 0.016190 	 val_loss: 0.016065
INFO:root:Epoch: 32 	 train_loss: 0.016168 	 val_loss: 0.016046
INFO:root:Epoch: 33 	 train_loss: 0.016016 	 val_loss: 0.015895
INFO:root:Epoch: 34 	 train_loss: 0.015907 	 val_loss: 0.015785
INFO:root:Epoch: 35 	 train_loss: 0.015875 	 val_loss: 0.015756
INFO:root:Epoch: 36 	 train_loss: 0.015771 	 val_loss: 0.015653
INFO:root:Epoch: 37 	 train_loss: 0.015746 	 val_loss: 0.015628
INFO:root:Epoch: 38 	 train_loss: 0.015697 	 val_loss: 0.015579
INFO:root:Epoch: 39 	 train_loss: 0.015645 	 val_loss: 0.015530
INFO:root:Epoch: 40 	 train_loss: 0.015590 	 val_loss: 0.015479
INFO:root:Epoch: 41 	 train_loss: 0.015562 	 val_loss: 0.015454
INFO:root:Epoch: 42 	 train_loss: 0.015604 	 val_loss: 0.015499
INFO:root:Epoch: 43 	 train_loss: 0.015587 	 val_loss: 0.015482
INFO:root:Epoch: 44 	 train_loss: 0.015569 	 val_loss: 0.015467
INFO:root:Epoch: 45 	 train_loss: 0.015507 	 val_loss: 0.015407
INFO:root:Epoch: 46 	 train_loss: 0.015526 	 val_loss: 0.015428
INFO:root:Epoch: 47 	 train_loss: 0.015448 	 val_loss: 0.015353
INFO:root:Epoch: 48 	 train_loss: 0.015421 	 val_loss: 0.015329
INFO:root:Epoch: 49 	 train_loss: 0.015444 	 val_loss: 0.015353
INFO:root:Epoch: 50 	 train_loss: 0.015361 	 val_loss: 0.015271
INFO:root:Epoch: 51 	 train_loss: 0.015338 	 val_loss: 0.015250
INFO:root:Epoch: 52 	 train_loss: 0.015331 	 val_loss: 0.015248
INFO:root:Epoch: 53 	 train_loss: 0.015319 	 val_loss: 0.015238
